Iterations,Adagrad,AdagradG
139,-1025.24608303,-1044.78419658
140,-1025.12088868,-1057.74133468
141,-1024.99668263,-1041.77480713
142,-1024.87344915,-1054.29027455
143,-1024.75117286,-1038.84478893
144,-1024.62983869,-1050.93342533
145,-1024.50943192,-1035.99138021
146,-1024.38993814,-1047.66756762
147,-1024.27134325,-1033.21195102
148,-1024.15363343,-1044.48962288
149,-1024.03679517,-1030.50399487
150,-1023.92081524,-1041.3966457
151,-1023.80568068,-1027.86512114
152,-1023.69137882,-1038.38581636
153,-1023.57789722,-1025.29304791
154,-1023.46522371,-1035.45443404
155,-1023.35334638,-1022.78559541
156,-1023.24225355,-1032.59991038
157,-1023.13193376,-1020.34067992
158,-1023.02237582,-1029.81976345
159,-1022.91356872,-1017.9563081
160,-1022.80550171,-1027.11161221
161,-1022.69816421,-1015.63057176
162,-1022.59154588,-1024.4731712
163,-1022.48563658,-1013.36164295
164,-1022.38042634,-1021.90224566
165,-1022.27590543,-1011.14776946
166,-1022.17206425,-1019.39672693
167,-1022.06889344,-1008.98727061
168,-1021.96638378,-1016.9545881
169,-1021.86452624,-1006.87853331
170,-1021.76331195,-1014.57388004
171,-1021.66273223,-1004.82000845
172,-1021.56277855,-1012.25272758
173,-1021.46344252,-1002.8102075
174,-1021.36471592,-1009.98932596
175,-1021.26659071,-1000.84769934
176,-1021.16905894,-1007.78193749
177,-1021.07211285,-998.931107332
178,-1020.97574482,-1005.62888848
179,-1020.87994733,-997.059106558
180,-1020.78471303,-1003.52856621
181,-1020.69003469,-995.230421266
182,-1020.59590522,-1001.47941626
183,-1020.50231764,-993.443822468
184,-1020.4092651,-999.479939843
185,-1020.31674087,-991.698125699
186,-1020.22473834,-997.528691382
187,-1020.13325101,-989.992188919
188,-1020.0422725,-995.6242762
189,-1019.95179653,-988.324910543
190,-1019.86181695,-993.765348339
191,-1019.77232768,-986.695227603
192,-1019.68332278,-991.950608504
193,-1019.59479639,-985.102114013
194,-1019.50674274,-990.178802117
195,-1019.4191562,-983.54457894
196,-1019.33203117,-988.448717483
197,-1019.24536221,-982.021665278
198,-1019.15914391,-986.759184038
199,-1019.073371,-980.532448199
200,-1018.98803827,-985.10907071
201,-1018.90314059,-979.076033803
202,-1018.81867294,-983.497284341
203,-1018.73463036,-977.651557823
204,-1018.65100797,-981.922768207
205,-1018.56780098,-976.258184422
206,-1018.48500467,-980.384500599
207,-1018.4026144,-974.895105039
208,-1018.3206256,-978.881493477
209,-1018.23903378,-973.561537303
210,-1018.1578345,-977.412791185
211,-1018.07702342,-972.256724003
212,-1017.99659625,-975.977469235
213,-1017.91654876,-970.979932107
214,-1017.83687681,-974.574633131
215,-1017.75757631,-969.730451834
216,-1017.67864321,-973.203417258
217,-1017.60007357,-968.507595766
218,-1017.52186348,-971.862983815
219,-1017.44400909,-967.310698004
220,-1017.36650662,-970.552521797
221,-1017.28935233,-966.139113367
222,-1017.21254257,-969.271246014
223,-1017.13607369,-964.99221662
224,-1017.05994216,-968.018396157
225,-1016.98414444,-963.869401742
226,-1016.9086771,-966.793235899
227,-1016.83353671,-962.770081226
228,-1016.75871992,-965.595052034
229,-1016.68422344,-961.693685405
230,-1016.61004398,-964.423153651
231,-1016.53617836,-960.63966181
232,-1016.46262339,-963.276871335
233,-1016.38937596,-959.607474553
234,-1016.31643301,-962.155556407
235,-1016.24379149,-958.596603736
236,-1016.17144842,-961.058580186
237,-1016.09940086,-957.606544882
238,-1016.0276459,-959.985333285
239,-1015.95618069,-956.636808392
240,-1015.8850024,-958.935224925
241,-1015.81410826,-955.686919019
242,-1015.74349551,-957.907682289
243,-1015.67316147,-954.756415365
244,-1015.60310345,-956.902149879
245,-1015.53331884,-953.844849398
246,-1015.46380504,-955.918088921
247,-1015.39455949,-952.95178598
248,-1015.32557967,-954.954976769
249,-1015.25686309,-952.076802428
250,-1015.1884073,-954.012306347
251,-1015.12020989,-951.219488072
252,-1015.05226845,-953.089585602
253,-1014.98458064,-950.379443848
254,-1014.91714413,-952.186336981
255,-1014.84995664,-949.55628189
256,-1014.78301589,-951.302096928
257,-1014.71631965,-948.749625149
258,-1014.64986574,-950.436415392
259,-1014.58365196,-947.959107021
260,-1014.51767617,-949.588855362
261,-1014.45193627,-947.184370984
262,-1014.38643016,-948.758992415
263,-1014.32115577,-946.425070262
264,-1014.25611108,-947.946414275
